status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status,issue_number,num_components,component_java,num_affected_versions,num_labels,created_weekday,created_month
Open,Major,2013-07-02T02:33:35.279+0000,Bug,keyer,2013-07-01T11:38:36.150+0000,,0,AVRO,,2,AVRO-1350,3042.0,46,1,,231.248588416,1350,1,0,1,0,0,7
Resolved,Critical,2013-06-20T16:41:00.043+0000,Bug,scott_carey,2013-06-20T16:29:17.709+0000,2013-06-20T16:41:00.024+0000,0,AVRO,,2,AVRO-1349,41.0,43,2,Fixed,242.038589634,1349,0,0,0,0,3,6
Resolved,Major,2013-06-20T17:38:07.697+0000,Bug,skye,2013-06-06T17:41:12.389+0000,2013-06-20T17:18:00.789+0000,0,AVRO,skye,6,AVRO-1346,528.0,55,6,Fixed,242.012886302,1346,1,0,1,0,3,6
Open,Minor,2013-05-30T22:07:02.491+0000,Improvement,davidtaylor,2013-05-30T22:02:52.515+0000,,0,AVRO,,1,AVRO-1342,312.0,44,1,,262.815065679,1342,1,0,1,0,3,5
Open,Minor,2013-05-25T05:35:30.283+0000,Improvement,jdonofrio,2013-05-25T05:35:30.283+0000,,0,AVRO,,0,AVRO-1340,559.0,97,1,,268.500739662,1340,1,0,0,0,5,5
Open,Major,2013-08-22T04:19:27.214+0000,New Feature,talevy,2013-06-05T02:31:38.017+0000,,1,AVRO,,4,AVRO-1345,2127.0,14,4,,257.628427927,1345,2,1,0,0,2,6
Closed,Minor,2013-08-20T17:46:04.208+0000,Improvement,bdechoux,2013-05-21T21:33:17.274+0000,2013-08-07T19:23:23.544+0000,0,AVRO,bdechoux,7,AVRO-1337,279.0,40,5,Fixed,180.993402558,1337,0,0,1,0,1,5
Open,Trivial,2013-07-23T21:40:30.362+0000,Bug,dbrosius,2013-05-20T03:44:05.112+0000,,0,AVRO,,1,AVRO-1333,111.0,28,2,,273.57811433,1333,1,1,1,0,0,5
Closed,Critical,2013-08-20T17:46:04.078+0000,Bug,kirwin,2013-05-08T15:48:38.228+0000,2013-05-09T21:04:56.888+0000,0,AVRO,cutting,4,AVRO-1326,1025.0,45,3,Fixed,180.993404066,1326,1,1,1,0,2,5
Open,Major,2013-05-23T13:02:04.495+0000,Bug,mumrah,2013-05-23T13:02:04.495+0000,,0,AVRO,,0,AVRO-1339,2050.0,39,1,,270.190621475,1339,0,0,0,0,3,5
Open,Major,2013-05-23T05:14:21.641+0000,New Feature,kryzthov,2013-05-23T05:10:28.724+0000,,1,AVRO,,0,AVRO-1338,621.0,111,1,,270.518118826,1338,1,1,1,0,3,5
Open,Major,2013-05-22T03:04:48.725+0000,Improvement,keyer,2013-05-21T03:14:52.105+0000,,1,AVRO,,4,AVRO-1335,1745.0,39,3,,272.598403769,1335,1,0,1,0,1,5
Resolved,Minor,2013-05-28T14:01:43.456+0000,New Feature,vince83,2013-05-15T10:38:51.771+0000,2013-05-28T13:59:56.490+0000,6,AVRO,vince83,4,AVRO-1330,1260.0,45,4,Duplicate,265.150435958,1330,1,1,0,0,2,5
Open,Minor,2013-05-10T19:28:20.068+0000,Improvement,felixgv,2013-05-10T19:28:20.068+0000,,1,AVRO,,0,AVRO-1329,518.0,28,1,,282.922385682,1329,1,0,1,0,4,5
Resolved,Minor,2013-05-28T14:01:43.577+0000,New Feature,vince83,2013-05-10T15:25:10.092+0000,2013-05-28T13:56:51.805+0000,6,AVRO,vince83,4,AVRO-1328,1409.0,43,4,Duplicate,265.152573485,1328,1,1,0,1,4,5
Resolved,Major,2013-05-24T16:10:58.877+0000,Improvement,bw123,2013-05-07T11:46:13.067+0000,2013-05-24T13:49:42.392+0000,0,AVRO,,4,AVRO-1324,463.0,49,3,Fixed,269.157543799,1324,1,0,3,0,1,5
Patch Available,Minor,2013-05-08T20:13:58.664+0000,Bug,trochee,2013-05-06T23:05:23.582+0000,,0,AVRO,trochee,1,AVRO-1323,429.0,45,1,,286.768880988,1323,1,0,0,0,0,5
Open,Trivial,2013-05-06T21:01:00.364+0000,Bug,bewang.tech,2013-05-06T21:01:00.364+0000,,0,AVRO,,0,AVRO-1321,90.0,62,1,,286.858030411,1321,0,0,1,0,0,5
Open,Major,2013-05-02T13:02:06.242+0000,New Feature,fjcyue,2013-05-02T13:02:06.242+0000,,1,AVRO,,0,AVRO-1317,284.0,44,1,,291.190601269,1317,1,0,1,0,3,5
Open,Minor,2013-04-30T06:34:30.881+0000,Bug,romixlev,2013-04-30T06:34:30.881+0000,,0,AVRO,,0,AVRO-1312,1533.0,91,1,,293.459760541,1312,1,1,0,0,1,4
Open,Minor,2013-05-14T17:22:58.102+0000,Bug,nir.zamir,2013-04-28T08:59:08.815+0000,,0,AVRO,,10,AVRO-1310,323.0,46,4,,295.359321492,1310,1,1,1,0,6,4
Open,Major,2013-04-20T00:30:17.426+0000,Bug,laserson,2013-04-20T00:30:17.426+0000,,1,AVRO,,0,AVRO-1305,177.0,59,2,,303.712694051,1305,1,0,0,0,5,4
Patch Available,Major,2013-04-23T20:18:54.367+0000,Bug,laserson,2013-04-20T00:26:33.984+0000,,1,AVRO,,6,AVRO-1304,384.0,44,3,,299.890683069,1304,1,0,1,0,5,4
Open,Major,2013-04-19T20:08:22.635+0000,Bug,trochee,2013-04-19T20:08:22.635+0000,,0,AVRO,,0,AVRO-1303,417.0,66,1,,303.894578209,1303,1,0,1,0,4,4
Open,Minor,2013-04-18T17:01:56.040+0000,Bug,cconner,2013-04-18T17:01:56.040+0000,,0,AVRO,,0,AVRO-1302,742.0,83,1,,305.024052689,1302,1,0,1,0,3,4
Open,Minor,2013-04-18T15:41:14.692+0000,Bug,chrisporter,2013-04-18T15:40:14.124+0000,,0,AVRO,,1,AVRO-1301,211.0,45,1,,305.08078783,1301,1,1,0,0,3,4
Closed,Major,2013-08-20T17:46:05.767+0000,Bug,trochee,2013-05-15T17:55:21.455+0000,2013-05-16T17:34:16.063+0000,0,AVRO,cutting,6,AVRO-1331,625.0,44,4,Fixed,180.993384544,1331,1,1,0,0,2,5
Closed,Major,2013-08-20T17:46:03.945+0000,Improvement,hernan.otero,2013-05-08T17:05:36.288+0000,2013-05-09T21:00:55.323+0000,0,AVRO,cutting,4,AVRO-1327,449.0,69,3,Fixed,180.993405634,1327,1,1,1,0,2,5
Closed,Major,2013-08-20T17:46:07.583+0000,Bug,massie,2013-05-06T21:26:02.931+0000,2013-05-09T21:15:26.637+0000,0,AVRO,massie,8,AVRO-1322,170.0,59,3,Fixed,180.993363529,1322,1,0,1,0,0,5
Closed,Major,2013-08-20T17:46:08.792+0000,Bug,cutting,2013-05-06T20:24:05.706+0000,2013-05-08T17:36:05.849+0000,0,AVRO,cutting,8,AVRO-1320,161.0,46,2,Fixed,180.993349537,1320,1,1,0,0,0,5
Closed,Major,2013-08-20T17:46:07.445+0000,New Feature,cutting,2013-05-06T20:10:29.618+0000,2013-05-09T20:57:58.464+0000,0,AVRO,cutting,3,AVRO-1319,235.0,32,2,Fixed,180.993365129,1319,1,1,0,0,0,5
Open,Major,2013-10-31T01:34:42.752+0000,New Feature,scott_carey,2013-04-30T19:55:54.444+0000,,3,AVRO,scott_carey,11,AVRO-1315,127.0,33,12,,292.903237839,1315,1,1,0,0,1,4
Closed,Minor,2013-08-20T17:46:05.901+0000,Improvement,scott_carey,2013-04-30T19:39:39.970+0000,2013-05-15T21:00:35.147+0000,0,AVRO,scott_carey,5,AVRO-1314,119.0,49,2,Fixed,180.993383003,1314,1,1,0,0,1,4
Closed,Major,2013-08-20T17:46:04.624+0000,Bug,scott_carey,2013-04-29T21:54:48.511+0000,2013-05-21T04:08:08.710+0000,0,AVRO,scott_carey,4,AVRO-1311,300.0,45,2,Fixed,180.993397784,1311,0,0,1,0,0,4
Closed,Major,2013-08-20T17:46:08.521+0000,Bug,szesch,2013-04-22T17:23:50.961+0000,2013-04-23T17:08:09.819+0000,0,AVRO,cutting,4,AVRO-1309,835.0,51,3,Fixed,180.993352682,1309,1,1,1,0,0,4
Closed,Major,2013-08-20T17:46:08.249+0000,Bug,szesch,2013-04-22T16:42:04.205+0000,2013-04-23T20:17:04.436+0000,0,AVRO,szesch,7,AVRO-1308,424.0,41,3,Fixed,180.993355831,1308,1,1,0,0,0,4
Closed,Minor,2013-08-20T17:46:07.307+0000,New Feature,vince83,2013-04-22T16:34:35.078+0000,2013-04-26T22:12:47.311+0000,0,AVRO,vince83,7,AVRO-1307,1206.0,51,4,Fixed,180.993366735,1307,1,1,0,0,0,4
Closed,Minor,2013-08-20T17:46:08.942+0000,Improvement,minaguib,2013-04-21T23:36:27.303+0000,2013-04-25T13:51:50.658+0000,0,AVRO,minaguib,7,AVRO-1306,171.0,72,4,Fixed,180.993347651,1306,1,1,1,2,6,4
Closed,Major,2013-08-20T17:46:05.357+0000,Bug,kryzthov,2013-04-18T06:31:26.503+0000,2013-04-22T19:51:57.697+0000,0,AVRO,kryzthov,4,AVRO-1300,799.0,115,3,Fixed,180.993389308,1300,1,1,1,0,3,4
Closed,Major,2013-08-20T17:46:05.209+0000,Bug,cutting,2013-04-10T18:33:45.707+0000,2013-04-16T23:26:19.576+0000,0,AVRO,cutting,5,AVRO-1295,221.0,60,2,Fixed,180.993391022,1295,1,1,0,0,2,4
Closed,Major,2013-08-20T17:46:06.318+0000,New Feature,martinkl,2013-04-03T04:51:12.380+0000,2013-04-13T04:51:42.570+0000,0,AVRO,martinkl,5,AVRO-1288,158.0,41,3,Fixed,180.993378188,1288,1,0,0,0,2,4
Closed,Major,2013-08-20T17:46:05.503+0000,Bug,martinkl,2013-03-10T17:28:54.906+0000,2013-03-19T15:45:15.927+0000,0,AVRO,martinkl,4,AVRO-1272,382.0,56,3,Fixed,180.993387611,1272,1,0,1,0,6,3
Resolved,Minor,2013-04-13T01:11:13.770+0000,Improvement,sujesh.chirackkal,2013-04-13T00:51:31.334+0000,2013-04-13T01:11:13.751+0000,0,AVRO,,0,AVRO-1298,189.0,40,1,Invalid,310.68426414,1298,1,1,2,0,5,4
Open,Minor,2013-04-10T18:49:42.338+0000,New Feature,bkent,2013-04-10T14:42:55.245+0000,,0,AVRO,,1,AVRO-1294,67.0,36,2,,313.120589697,1294,1,1,0,0,2,4
Open,Major,2013-04-09T16:23:52.202+0000,Bug,trochee,2013-04-09T16:23:52.202+0000,,0,AVRO,,0,AVRO-1291,608.0,47,1,,314.05048603,1291,1,0,0,0,1,4
Resolved,Major,2013-06-13T19:40:41.706+0000,Bug,drussel,2013-04-04T22:27:54.204+0000,2013-06-13T19:03:14.849+0000,0,AVRO,drussel,6,AVRO-1290,186.0,61,4,Fixed,248.939807061,1290,1,0,1,0,3,4
Open,Minor,2013-04-04T18:14:02.182+0000,Improvement,trochee,2013-04-04T18:14:02.182+0000,,0,AVRO,trochee,0,AVRO-1289,1118.0,81,1,,318.973981635,1289,1,0,1,1,3,4
Open,Minor,2013-05-06T05:32:28.191+0000,Bug,laserson,2013-04-03T00:46:11.530+0000,,0,AVRO,,3,AVRO-1286,131.0,56,3,,320.701651219,1286,1,0,0,0,2,4
Open,Minor,2013-05-07T21:30:04.936+0000,New Feature,viji_r,2013-04-01T10:49:14.852+0000,,0,AVRO,,4,AVRO-1285,211.0,55,4,,322.282862772,1285,1,1,0,0,0,4
Open,Major,2013-04-30T00:02:32.549+0000,Improvement,cutting,2013-03-22T23:13:05.138+0000,,0,AVRO,,0,AVRO-1283,729.0,67,1,,331.766308537,1283,0,0,0,0,4,3
Open,Major,2013-05-02T02:30:58.379+0000,Bug,cwsteinbach,2013-03-21T19:27:18.848+0000,,0,AVRO,cwsteinbach,1,AVRO-1281,,53,1,,332.923094302,1281,1,1,0,0,3,3
Open,Major,2013-03-21T19:22:29.872+0000,Bug,cwsteinbach,2013-03-21T19:17:18.691+0000,,0,AVRO,cwsteinbach,1,AVRO-1280,,55,1,,332.930040565,1280,1,0,0,0,3,3
Resolved,Minor,2013-04-23T16:42:43.825+0000,Improvement,romixlev,2013-03-21T16:51:19.457+0000,2013-04-23T16:42:43.804+0000,0,AVRO,,21,AVRO-1277,562.0,51,3,Duplicate,300.037388518,1277,1,1,1,0,3,3
Open,Major,2013-03-20T19:54:59.298+0000,Improvement,matthewcmead,2013-03-20T19:54:59.298+0000,,0,AVRO,matthewcmead,0,AVRO-1276,668.0,76,1,,333.903876136,1276,1,1,1,0,2,3
Open,Major,2013-05-06T20:52:20.412+0000,Bug,tomwhite,2013-03-18T14:20:42.322+0000,,0,AVRO,,2,AVRO-1275,277.0,84,2,,336.136017063,1275,1,1,0,0,0,3
Open,Minor,2013-03-12T01:15:21.419+0000,Improvement,sqs,2013-03-12T01:12:40.324+0000,,0,AVRO,,1,AVRO-1273,2671.0,67,1,,342.683262412,1273,0,0,0,1,1,3
Resolved,Major,2013-03-06T18:55:05.930+0000,Bug,ahanna,2013-03-06T16:47:27.034+0000,2013-03-06T18:55:05.880+0000,0,AVRO,,1,AVRO-1271,2105.0,45,2,Later,347.945465966,1271,2,1,1,0,2,3
Open,Minor,2013-05-07T09:21:23.274+0000,Bug,claws,2013-03-02T02:02:30.622+0000,,1,AVRO,,1,AVRO-1270,1034.0,75,2,,352.648652484,1270,1,0,1,0,5,3
Resolved,Major,2013-02-28T23:05:14.592+0000,Bug,cutting,2013-02-28T17:19:04.554+0000,2013-02-28T23:05:14.566+0000,0,AVRO,cutting,0,AVRO-1264,139.0,54,1,Duplicate,353.771754337,1264,1,0,0,0,3,2
Open,Major,2013-02-28T17:40:42.569+0000,Improvement,tino,2013-02-28T11:01:14.969+0000,,0,AVRO,,1,AVRO-1263,360.0,88,2,,354.2745281,1263,1,1,1,0,3,2
Closed,Major,2013-02-27T00:54:05.060+0000,Bug,martinkl,2013-02-19T16:19:33.683+0000,2013-02-19T23:14:28.828+0000,0,AVRO,martinkl,4,AVRO-1258,150.0,47,3,Fixed,355.696170544,1258,1,0,1,0,1,2
Closed,Major,2013-02-27T00:54:04.029+0000,Bug,martinkl,2013-02-19T15:36:57.582+0000,2013-02-19T23:11:31.020+0000,0,AVRO,martinkl,4,AVRO-1257,440.0,41,3,Fixed,355.696182467,1257,1,0,1,0,1,2
Open,Minor,2013-02-18T22:07:34.069+0000,Improvement,tmenninger,2013-02-18T22:07:34.069+0000,,0,AVRO,,0,AVRO-1256,1526.0,79,1,,363.81180704,1256,1,0,1,0,0,2
Closed,Minor,2013-02-27T00:54:00.758+0000,Improvement,trochee,2013-02-14T19:43:46.401+0000,2013-02-14T22:19:39.646+0000,0,AVRO,trochee,6,AVRO-1255,709.0,75,3,Fixed,355.696220329,1255,1,0,1,1,3,2
Closed,Minor,2013-02-27T00:54:00.334+0000,Improvement,ted.m,2013-02-14T15:12:43.818+0000,2013-02-19T17:15:37.533+0000,0,AVRO,ted.m,7,AVRO-1254,312.0,37,3,Fixed,355.696225249,1254,0,0,0,0,3,2
Closed,Minor,2013-02-27T00:53:59.629+0000,Improvement,ted.m,2013-02-14T13:57:25.019+0000,2013-02-14T20:48:10.345+0000,0,AVRO,ted.m,3,AVRO-1253,478.0,42,3,Fixed,355.696233399,1253,0,0,1,0,3,2
Closed,Minor,2013-02-27T00:54:02.281+0000,New Feature,cutting,2013-02-12T21:58:57.724+0000,2013-02-19T23:22:48.819+0000,0,AVRO,cutting,5,AVRO-1252,283.0,55,2,Fixed,355.696202706,1252,1,1,0,0,1,2
Closed,Minor,2013-02-27T00:53:58.777+0000,Bug,ted.m,2013-02-12T01:53:56.165+0000,2013-02-14T22:26:37.200+0000,0,AVRO,ted.m,12,AVRO-1251,433.0,49,4,Fixed,355.696243263,1251,1,1,1,0,1,2
Closed,Major,2013-02-27T00:54:04.857+0000,New Feature,njw45,2013-02-11T15:27:44.916+0000,2013-02-12T22:28:21.305+0000,0,AVRO,njw45,4,AVRO-1250,333.0,51,3,Fixed,355.696172894,1250,1,1,1,1,0,2
Closed,Major,2013-02-27T00:54:02.484+0000,Bug,esammer,2013-02-11T02:32:16.658+0000,2013-02-12T23:28:50.970+0000,0,AVRO,esammer,6,AVRO-1249,779.0,53,3,Fixed,355.696200361,1249,1,1,1,0,0,2
Closed,Minor,2013-02-27T00:54:04.234+0000,Improvement,gareth@logicalpractice.com,2013-02-10T16:04:26.281+0000,2013-02-10T19:02:31.920+0000,0,AVRO,gareth@logicalpractice.com,5,AVRO-1248,265.0,65,3,Fixed,355.696180119,1248,1,1,0,0,6,2
Closed,Major,2013-02-27T00:53:59.004+0000,Bug,chengas123,2013-02-10T00:07:01.082+0000,2013-02-14T21:29:29.194+0000,0,AVRO,cutting,5,AVRO-1247,1097.0,37,3,Fixed,355.69624063,1247,1,1,1,1,6,2
Open,Major,2013-02-08T23:27:28.765+0000,New Feature,saden1,2013-02-08T23:27:28.765+0000,,0,AVRO,,0,AVRO-1246,256.0,32,1,,373.756312889,1246,1,0,1,0,4,2
Open,Minor,2013-05-16T06:52:37.622+0000,Improvement,saden1,2013-02-08T22:28:17.098+0000,,0,AVRO,,5,AVRO-1245,1857.0,47,3,,373.797420147,1245,1,1,1,0,4,2
Resolved,Minor,2013-02-07T16:53:01.150+0000,Improvement,qwertymaniac,2013-02-07T16:51:53.721+0000,2013-02-07T16:53:01.117+0000,0,AVRO,,1,AVRO-1244,1626.0,78,1,Invalid,375.03024354,1244,1,1,0,0,3,2
Closed,Minor,2013-02-27T00:54:01.817+0000,Improvement,ted.m,2013-02-07T12:22:30.069+0000,2013-02-12T23:23:26.284+0000,0,AVRO,ted.m,21,AVRO-1243,769.0,39,4,Fixed,355.696208078,1243,1,1,1,0,3,2
Closed,Major,2013-02-27T00:54:04.441+0000,Bug,ted.m,2013-02-06T15:32:50.023+0000,2013-02-07T17:07:10.989+0000,1,AVRO,ted.m,8,AVRO-1242,411.0,52,5,Fixed,355.696177721,1242,0,0,1,0,2,2
Closed,Major,2013-02-27T00:54:02.045+0000,Improvement,jadler,2013-02-01T20:38:58.129+0000,2013-02-04T21:59:37.119+0000,1,AVRO,jadler,6,AVRO-1241,486.0,52,6,Fixed,355.696205443,1241,1,1,1,0,4,2
Closed,Major,2013-02-27T00:54:02.924+0000,Bug,brocknoland,2013-02-01T16:23:45.152+0000,2013-02-05T14:47:38.671+0000,0,AVRO,cutting,8,AVRO-1240,1331.0,93,3,Fixed,355.696195271,1240,1,1,1,0,4,2
Resolved,Minor,2013-02-04T14:22:10.725+0000,Bug,baunz,2013-02-01T09:43:58.638+0000,2013-02-04T14:22:10.692+0000,0,AVRO,,3,AVRO-1239,629.0,34,3,Duplicate,378.134992946,1239,1,1,1,2,4,2
Resolved,Major,2013-05-24T16:10:58.690+0000,Improvement,mic159,2013-02-01T05:53:18.677+0000,2013-05-24T13:37:50.718+0000,0,AVRO,,7,AVRO-1238,343.0,35,4,Fixed,269.165780518,1238,1,0,0,0,4,2
Open,Major,2013-01-29T22:28:38.521+0000,Bug,iosica,2013-01-29T19:35:23.197+0000,,0,AVRO,,3,AVRO-1236,2897.0,46,2,,383.917488462,1236,0,0,1,0,1,1
Open,Critical,2013-02-20T00:48:14.191+0000,Bug,sms,2013-01-21T23:59:35.954+0000,,0,AVRO,,0,AVRO-1235,254.0,36,1,,391.734007482,1235,1,1,1,0,0,1
Closed,Minor,2013-02-27T00:53:59.225+0000,Bug,mwagner,2013-01-15T00:14:38.061+0000,2013-01-17T21:13:22.043+0000,0,AVRO,mwagner,1,AVRO-1233,171.0,59,2,Fixed,355.696238112,1233,1,1,0,0,1,1
Closed,Minor,2013-02-27T00:54:00.965+0000,Improvement,gwu,2013-01-11T23:35:39.803+0000,2013-01-18T21:41:11.826+0000,0,AVRO,gwu,5,AVRO-1232,707.0,71,2,Fixed,355.696217977,1232,1,1,1,0,4,1
Closed,Major,2013-02-27T00:53:59.832+0000,Bug,mwagner,2013-01-11T20:24:18.144+0000,2013-01-14T20:31:19.153+0000,0,AVRO,mwagner,1,AVRO-1231,349.0,55,3,Fixed,355.696231095,1231,0,0,0,0,4,1
Closed,Blocker,2013-02-27T00:54:01.170+0000,Bug,tomwhite,2013-01-11T16:45:38.523+0000,2013-01-16T16:09:21.018+0000,1,AVRO,tomwhite,10,AVRO-1230,177.0,57,3,Fixed,355.696215476,1230,1,1,0,0,4,1
Closed,Major,2013-02-27T00:54:00.538+0000,Improvement,mwagner,2013-01-10T01:12:25.589+0000,2013-01-18T19:35:00.067+0000,1,AVRO,cutting,14,AVRO-1229,234.0,36,4,Fixed,355.696222934,1229,0,0,0,0,3,1
Closed,Major,2013-02-27T00:54:01.612+0000,Bug,mwagner,2013-01-10T01:00:20.918+0000,2013-02-04T22:14:13.333+0000,0,AVRO,cutting,7,AVRO-1228,243.0,47,4,Fixed,355.696210518,1228,1,1,1,0,3,1
Closed,Major,2013-02-27T00:54:05.256+0000,Bug,scott_carey,2013-01-09T21:17:46.514+0000,2013-01-24T22:03:27.117+0000,0,AVRO,cutting,3,AVRO-1227,1604.0,51,2,Fixed,355.696168311,1227,0,0,1,0,2,1
Open,Major,2013-01-10T06:10:05.620+0000,Improvement,brocknoland,2013-01-08T17:53:44.650+0000,,0,AVRO,,2,AVRO-1226,244.0,81,1,,404.988073534,1226,0,0,1,0,1,1
Resolved,Trivial,2013-02-14T23:51:14.467+0000,Bug,logicnut,2013-01-05T20:12:30.141+0000,2013-02-14T23:51:14.437+0000,0,AVRO,cutting,1,AVRO-1224,384.0,30,2,Fixed,367.739811719,1224,1,0,0,0,5,1
Closed,Trivial,2013-02-27T00:54:03.774+0000,Improvement,ctm,2012-12-20T15:50:58.070+0000,2013-01-18T21:22:21.405+0000,0,AVRO,cutting,4,AVRO-1223,264.0,69,2,Fixed,355.696185496,1223,1,1,1,0,3,12
Open,Major,2013-01-06T01:46:36.182+0000,Bug,aeu,2012-12-20T06:52:28.762+0000,,0,AVRO,,5,AVRO-1222,2140.0,47,3,,424.447285209,1222,0,0,1,0,3,12
Closed,Major,2013-02-27T00:54:03.139+0000,Bug,rodrigotrujillo,2012-12-19T18:32:47.895+0000,2012-12-19T23:38:56.998+0000,0,AVRO,rodrigotrujillo,4,AVRO-1221,1746.0,46,3,Fixed,355.696192816,1221,1,1,1,0,2,12
Closed,Major,2013-02-27T00:54:01.402+0000,Bug,slandelle,2012-12-13T21:52:33.698+0000,2013-02-09T00:22:19.028+0000,0,AVRO,cutting,10,AVRO-1220,641.0,10,4,Fixed,355.696212959,1220,1,1,1,0,3,12
Open,Minor,2012-12-12T09:04:42.224+0000,Improvement,dbeech,2012-12-12T09:03:31.894+0000,,1,AVRO,dbeech,1,AVRO-1219,666.0,93,1,,432.356276746,1219,1,1,1,0,2,12
Open,Blocker,2013-04-30T17:25:12.536+0000,Bug,russell.jurney,2012-12-11T20:01:57.103+0000,,0,AVRO,,3,AVRO-1218,124.0,26,4,,432.899040534,1218,1,0,1,6,1,12
Closed,Major,2013-02-27T00:54:03.350+0000,Bug,pjsg,2012-12-07T21:21:39.304+0000,2012-12-08T01:08:39.445+0000,0,AVRO,tebeka,3,AVRO-1217,258.0,67,2,Fixed,355.696190433,1217,1,0,1,1,4,12
Open,Major,2012-12-07T20:44:01.915+0000,Bug,pjacobs,2012-12-07T20:40:18.648+0000,,0,AVRO,,0,AVRO-1216,2190.0,39,1,,436.872402288,1216,1,0,1,0,4,12
Closed,Major,2013-05-02T02:30:58.229+0000,Bug,matterhayes,2012-12-07T04:44:22.978+0000,2013-02-18T18:31:30.399+0000,0,AVRO,nagav.ashish,33,AVRO-1215,1294.0,62,7,Fixed,355.696228682,1215,1,1,1,2,4,12
Patch Available,Minor,2012-12-07T19:50:50.066+0000,Improvement,yabon,2012-12-05T19:54:52.505+0000,,0,AVRO,,3,AVRO-1214,1385.0,83,2,,438.886982956,1214,1,1,1,0,2,12
Open,Minor,2013-06-09T03:10:55.060+0000,Improvement,saden1,2012-11-30T09:04:00.765+0000,,0,AVRO,,4,AVRO-1213,310.0,38,4,,444.355942611,1213,1,1,1,0,4,11
Patch Available,Major,2012-11-30T00:34:14.674+0000,Bug,yabon,2012-11-29T01:43:17.427+0000,,0,AVRO,,3,AVRO-1212,3997.0,82,2,,445.626104222,1212,1,1,1,0,3,11
Closed,Major,2013-02-27T00:54:05.463+0000,Improvement,skye,2012-11-22T01:38:49.815+0000,2012-12-19T18:33:24.486+0000,0,AVRO,skye,9,AVRO-1211,76.0,29,5,Fixed,355.696165868,1211,1,0,1,1,3,11
Closed,Trivial,2012-12-10T17:57:36.318+0000,Improvement,dbeech,2012-11-21T10:12:51.711+0000,2012-11-28T22:38:45.558+0000,0,AVRO,dbeech,2,AVRO-1210,147.0,51,2,Fixed,433.985392225,1210,0,0,1,0,2,11
Closed,Minor,2012-12-10T17:57:37.646+0000,Improvement,jeffkole,2012-11-19T22:59:48.072+0000,2012-11-29T22:08:20.891+0000,0,AVRO,jeffkole,9,AVRO-1209,582.0,52,2,Fixed,433.985376846,1209,1,1,1,0,0,11
Patch Available,Major,2013-03-15T14:30:50.019+0000,Improvement,yhuai,2012-11-19T14:33:16.047+0000,,1,AVRO,yhuai,18,AVRO-1208,651.0,56,9,,380.767988736,1208,0,0,1,0,0,11
Closed,Minor,2012-12-10T17:57:37.777+0000,Improvement,saden1,2012-11-16T15:26:37.825+0000,2012-11-19T20:57:31.443+0000,0,AVRO,saden1,4,AVRO-1207,44.0,34,2,Fixed,433.985375347,1207,1,1,1,0,4,11
Closed,Major,2012-12-10T17:57:35.781+0000,Bug,cvigny,2012-11-16T13:27:18.575+0000,2012-11-28T22:35:22.949+0000,0,AVRO,,9,AVRO-1206,1332.0,29,2,Fixed,433.98539844,1206,1,0,1,0,4,11
Closed,Minor,2012-12-10T17:57:37.117+0000,New Feature,saden1,2012-11-14T15:52:31.354+0000,2012-11-21T22:57:52.384+0000,0,AVRO,saden1,6,AVRO-1205,1158.0,44,2,Fixed,433.985382979,1205,1,1,1,0,2,11
Open,Major,2012-11-17T01:08:26.628+0000,Bug,marciosilva,2012-11-14T04:01:17.606+0000,,0,AVRO,,3,AVRO-1204,1323.0,89,2,,460.566164382,1204,1,1,2,0,2,11
Open,Major,2013-03-11T21:19:04.237+0000,Improvement,manuelsimoni,2012-11-12T12:34:43.971+0000,,0,AVRO,,2,AVRO-1203,1142.0,49,3,,462.209609234,1203,1,0,1,0,0,11
Closed,Major,2012-12-10T17:57:35.236+0000,Improvement,skye,2012-11-09T18:22:35.196+0000,2012-11-16T23:16:36.603+0000,0,AVRO,skye,11,AVRO-1202,284.0,44,5,Fixed,433.985404769,1202,1,0,0,1,4,11
Closed,Major,2012-12-10T17:57:38.169+0000,Bug,saden1,2012-11-09T15:59:19.713+0000,2012-11-21T22:30:15.079+0000,0,AVRO,saden1,10,AVRO-1201,174.0,47,2,Fixed,433.985370813,1201,1,1,1,0,4,11
Closed,Major,2012-12-10T17:57:36.978+0000,Bug,tomwhite,2012-11-08T21:54:33.210+0000,2012-11-09T10:57:38.938+0000,0,AVRO,tomwhite,3,AVRO-1200,231.0,75,2,Fixed,433.985384612,1200,1,1,1,0,3,11
Closed,Major,2012-12-10T17:57:35.373+0000,Bug,kimslbing,2012-11-08T07:32:06.572+0000,2012-11-14T23:21:59.645+0000,0,AVRO,cutting,8,AVRO-1199,835.0,72,2,Fixed,433.985403179,1199,1,1,1,1,3,11
Closed,Major,2013-02-27T00:54:04.651+0000,Bug,mpercy,2012-11-08T00:52:05.217+0000,2013-02-12T19:43:04.184+0000,0,AVRO,mpercy,6,AVRO-1198,279.0,70,3,Fixed,355.696175418,1198,1,1,1,0,3,11
Closed,Major,2012-12-10T17:57:37.523+0000,Bug,mpercy,2012-11-08T00:46:56.833+0000,2012-11-08T21:15:21.043+0000,0,AVRO,mpercy,5,AVRO-1197,2502.0,68,2,Fixed,433.985378315,1197,2,1,0,0,3,11
